,值
1677,437.897156
1678,436.793732
1679,436.475067
1680,433.1991
1681,434.331543
1682,436.457733
1683,437.094177
1684,438.178925
1685,438.449249
1686,439.739136
1687,433.004761
1688,434.442169
1689,434.114532
1690,435.2259
1691,438.380066
1692,436.536224
1693,434.222565
1694,434.8926
1695,433.153473
1696,436.167633
1697,434.787048
1698,436.366882
1699,429.7924
1700,433.861359
1701,430.8597
1702,429.673553
1703,424.8401
1704,425.571442
1705,427.606232
1706,429.493256
1707,428.8487
1708,427.229065
1709,430.4974
1710,427.034729
1711,430.815552
1712,423.756165
1713,428.239075
1714,426.617554
1715,428.0134
1716,430.656982
1717,425.6036
1718,426.823059
1719,430.689
1720,424.5403
1721,427.7887
1722,425.334717
1723,426.183533
1724,430.433136
1725,424.207947
1726,423.52478
1727,424.925537
1728,428.200623
1729,424.013367
1730,424.3383
1731,429.398743
1732,423.682617
1733,423.084625
1734,424.309265
1735,428.249756
1736,421.1924
1737,419.477661
1738,424.371124
1739,424.84375
1740,421.9762
1741,429.1776
1742,428.7458
1743,426.737885
1744,425.2165
1745,427.893
1746,423.5088
1747,428.287628
1748,433.7299
1749,430.772125
1750,429.3976
1751,427.6557
1752,429.648
1753,427.649567
1754,433.406525
1755,430.1479
1756,432.878082
1757,434.990021
1758,434.018219
1759,433.847015
1760,433.0916
1761,437.813721
1762,431.597046
1763,434.20755
1764,436.609528
1765,437.282867
1766,436.142456
1767,441.06842
1768,436.595917
1769,439.648834
1770,440.387054
1771,435.830353
1772,437.265625
1773,436.697937
1774,434.564362
1775,434.1291
1776,437.9165
1777,433.268982
1778,432.942261
1779,437.428833
1780,433.5071
1781,431.2243
1782,434.2541
1783,431.287018
1784,429.944672
1785,432.142365
1786,434.0789
1787,431.7234
1788,429.626038
1789,430.570923
1790,431.308441
1791,430.4652
1792,431.551422
1793,427.3087
1794,428.101379
1795,428.803223
1796,429.179382
1797,429.681519
1798,429.1062
1799,429.9216
1800,425.196747
1801,429.01886
1802,422.78714
1803,422.7743
1804,428.075378
1805,424.9499
1806,421.779144
1807,421.9388
1808,424.543976
1809,424.4894
1810,421.655029
1811,422.4173
1812,422.8044
1813,422.7775
1814,419.7182
1815,413.941071
1816,420.014954
1817,424.9756
1818,421.666931
1819,425.874023
1820,425.544647
1821,424.260956
1822,421.266876
1823,425.266846
1824,430.164459
1825,427.201721
1826,432.808
1827,426.266235
1828,428.416351
1829,426.029266
1830,427.6447
1831,432.3723
1832,435.089264
1833,431.144348
1834,432.62973
1835,433.196167
1836,433.029053
1837,433.5595
1838,434.878082
1839,435.379364
1840,439.335815
1841,432.1289
1842,435.516663
1843,438.840546
1844,434.3532
1845,433.909241
1846,433.43634
1847,431.596283
1848,434.567169
1849,439.492371
1850,435.4357
1851,434.107239
1852,433.29007
1853,431.475739
1854,432.468079
1855,432.8017
1856,436.136932
1857,436.342468
1858,431.5927
1859,433.080627
1860,432.0788
1861,433.308929
1862,431.9131
1863,429.4884
1864,435.066223
1865,436.401733
1866,429.4248
1867,433.194641
1868,429.684143
1869,432.540283
1870,430.1679
1871,433.078644
1872,435.3426
1873,430.853729
1874,435.127045
1875,432.305634
1876,430.184662
